date_key,region_key,service_key,incident_count
202401,1,1,18
202401,1,2,15
202401,1,3,4
202401,1,4,8
202401,2,1,16
202401,2,2,17
202401,2,3,8
202401,2,4,3
202401,3,1,13
202401,3,2,7
202401,3,3,5
202401,3,4,5
202401,4,1,17
202401,4,2,22
202401,4,3,3
202401,4,4,3
202401,5,1,17
202401,5,2,12
202401,5,3,5
202401,5,4,9
202401,6,1,19
202401,6,2,10
202401,6,3,8
202401,6,4,8
202401,7,1,28
202401,7,2,20
202401,7,3,4
202401,7,4,0
202402,1,1,22
202402,1,2,8
202402,1,3,4
202402,1,4,5
202402,2,1,21
202402,2,2,22
202402,2,3,4
202402,2,4,7
202402,3,1,18
202402,3,2,20
202402,3,3,0
202402,3,4,5
202402,4,1,8
202402,4,2,19
202402,4,3,2
202402,4,4,3
202402,5,1,22
202402,5,2,23
202402,5,3,5
202402,5,4,1
202402,6,1,26
202402,6,2,9
202402,6,3,8
202402,6,4,9
202402,7,1,19
202402,7,2,12
202402,7,3,5
202402,7,4,2
202403,1,1,20
202403,1,2,15
202403,1,3,3
202403,1,4,4
202403,2,1,27
202403,2,2,18
202403,2,3,4
202403,2,4,3
202403,3,1,23
202403,3,2,15
202403,3,3,3
202403,3,4,6
202403,4,1,18
202403,4,2,18
202403,4,3,3
202403,4,4,3
202403,5,1,13
202403,5,2,20
202403,5,3,3
202403,5,4,0
202403,6,1,17
202403,6,2,22
202403,6,3,2
202403,6,4,3
202403,7,1,6
202403,7,2,19
202403,7,3,2
202403,7,4,1
202404,1,1,19
202404,1,2,7
202404,1,3,1
202404,1,4,7
202404,2,1,18
202404,2,2,22
202404,2,3,5
202404,2,4,3
202404,3,1,18
202404,3,2,24
202404,3,3,6
202404,3,4,1
202404,4,1,13
202404,4,2,20
202404,4,3,2
202404,4,4,2
202404,5,1,23
202404,5,2,7
202404,5,3,2
202404,5,4,9
202404,6,1,17
202404,6,2,16
202404,6,3,9
202404,6,4,6
202404,7,1,19
202404,7,2,18
202404,7,3,2
202404,7,4,0
202405,1,1,19
202405,1,2,18
202405,1,3,6
202405,1,4,4
202405,2,1,18
202405,2,2,14
202405,2,3,3
202405,2,4,4
202405,3,1,13
202405,3,2,12
202405,3,3,8
202405,3,4,9
202405,4,1,18
202405,4,2,17
202405,4,3,9
202405,4,4,1
202405,5,1,19
202405,5,2,26
202405,5,3,0
202405,5,4,7
202405,6,1,16
202405,6,2,24
202405,6,3,7
202405,6,4,1
202405,7,1,26
202405,7,2,12
202405,7,3,1
202405,7,4,6
202406,1,1,9
202406,1,2,20
202406,1,3,9
202406,1,4,2
202406,2,1,17
202406,2,2,23
202406,2,3,2
202406,2,4,4
202406,3,1,9
202406,3,2,22
202406,3,3,0
202406,3,4,2
202406,4,1,21
202406,4,2,10
202406,4,3,9
202406,4,4,5
202406,5,1,20
202406,5,2,20
202406,5,3,2
202406,5,4,7
202406,6,1,19
202406,6,2,13
202406,6,3,7
202406,6,4,2
202406,7,1,14
202406,7,2,9
202406,7,3,2
202406,7,4,2
202407,1,1,16
202407,1,2,16
202407,1,3,9
202407,1,4,0
202407,2,1,17
202407,2,2,10
202407,2,3,5
202407,2,4,6
202407,3,1,17
202407,3,2,20
202407,3,3,0
202407,3,4,1
202407,4,1,13
202407,4,2,16
202407,4,3,1
202407,4,4,1
202407,5,1,14
202407,5,2,15
202407,5,3,1
202407,5,4,1
202407,6,1,25
202407,6,2,18
202407,6,3,7
202407,6,4,8
202407,7,1,7
202407,7,2,26
202407,7,3,7
202407,7,4,5
202408,1,1,22
202408,1,2,23
202408,1,3,1
202408,1,4,4
202408,2,1,7
202408,2,2,20
202408,2,3,0
202408,2,4,6
202408,3,1,21
202408,3,2,8
202408,3,3,5
202408,3,4,3
202408,4,1,17
202408,4,2,25
202408,4,3,1
202408,4,4,2
202408,5,1,23
202408,5,2,11
202408,5,3,1
202408,5,4,2
202408,6,1,19
202408,6,2,23
202408,6,3,4
202408,6,4,1
202408,7,1,12
202408,7,2,20
202408,7,3,2
202408,7,4,2
202409,1,1,21
202409,1,2,16
202409,1,3,8
202409,1,4,2
202409,2,1,16
202409,2,2,10
202409,2,3,9
202409,2,4,8
202409,3,1,8
202409,3,2,13
202409,3,3,6
202409,3,4,8
202409,4,1,17
202409,4,2,17
202409,4,3,5
202409,4,4,6
202409,5,1,14
202409,5,2,8
202409,5,3,9
202409,5,4,8
202409,6,1,14
202409,6,2,13
202409,6,3,1
202409,6,4,9
202409,7,1,19
202409,7,2,10
202409,7,3,8
202409,7,4,9
202410,1,1,16
202410,1,2,7
202410,1,3,0
202410,1,4,1
202410,2,1,20
202410,2,2,20
202410,2,3,7
202410,2,4,6
202410,3,1,10
202410,3,2,12
202410,3,3,3
202410,3,4,0
202410,4,1,5
202410,4,2,17
202410,4,3,2
202410,4,4,3
202410,5,1,12
202410,5,2,10
202410,5,3,3
202410,5,4,6
202410,6,1,12
